employee_id,employee_name,department,job_level,contract_type,age,years_experience,monthly_salary,performance_score
1,Paula Rodríguez,TI,Senior,Contrato,54,30,1074.86,1.19
2,Carlos Hernández,Operaciones,Senior,Tiempo completo,43,24,2119.49,2.81
3,Natalia López,TI,Junior,Medio tiempo,58,29,931.03,1.4
4,Diego Castro,Marketing,Junior,Contrato,56,0,465.65,4.54
5,Luis García,Finanzas,Junior,Tiempo completo,50,1,1072.57,1.57
6,Natalia Castro,Marketing,Senior,Tiempo completo,30,3,1755.01,2.51
7,Ana García,TI,Junior,Contrato,44,31,1165.92,1.69
8,Daniela Castro,Finanzas,Junior,Tiempo completo,38,3,1314.37,2.47
9,Laura Martínez,Marketing,Junior,Contrato,39,27,1158.08,3.44
10,Ana García,Recursos Humanos,Junior,Contrato,33,30,1216.91,3.17
11,José Pérez,Operaciones,Junior,Medio tiempo,30,18,673.19,4.2
12,María Rodríguez,Finanzas,Junior,Medio tiempo,56,9,1182.15,1.17
13,Sofía Rodríguez,TI,Junior,Tiempo completo,59,4,530.27,3.62
14,Daniela Mendoza,Finanzas,Semi-Senior,Tiempo completo,24,13,1002.85,1.97
15,Jorge Vera,Operaciones,Semi-Senior,Medio tiempo,58,31,1571.09,1.13
16,Valentina López,Ventas,Semi-Senior,Contrato,54,17,1009.08,3.74
17,Pedro Pérez,Operaciones,Senior,Medio tiempo,47,10,1450.04,4.52
18,Carlos Pérez,Marketing,Senior,Tiempo completo,26,0,1158.27,3.8
19,Andrés Mendoza,TI,Semi-Senior,Contrato,34,33,1277.46,3.16
20,María Gómez,Finanzas,Semi-Senior,Tiempo completo,46,16,1854.7,4.23
21,Ana Rodríguez,Finanzas,Junior,Medio tiempo,30,18,844.56,1.68
22,Diego Hernández,Finanzas,Senior,Tiempo completo,20,8,1191.78,4.41
23,Paula Rodríguez,Marketing,Junior,Contrato,38,18,400.0,4.41
24,José Martínez,Finanzas,Semi-Senior,Contrato,59,30,874.89,4.12
25,Pedro López,Ventas,Semi-Senior,Medio tiempo,54,34,1191.04,4.66
26,Jorge Hernández,Operaciones,Semi-Senior,Tiempo completo,36,2,906.67,3.81
27,Miguel Martínez,Operaciones,Junior,Contrato,33,33,1768.01,4.69
28,Sofía Hernández,TI,Junior,Medio tiempo,35,24,1450.77,4.51
29,Sofía Pérez,Finanzas,Senior,Medio tiempo,48,14,1753.19,1.53
30,Camila Gómez,Ventas,Senior,Tiempo completo,45,6,1400.03,1.51
31,Fernando Martínez,Recursos Humanos,Semi-Senior,Tiempo completo,35,31,1066.17,2.87
32,Natalia Rodríguez,Recursos Humanos,Junior,Contrato,32,21,431.84,2.84
33,Natalia Pérez,TI,Junior,Contrato,59,14,1127.59,2.76
34,Laura Gómez,Finanzas,Junior,Medio tiempo,54,27,784.74,3.03
35,Valentina García,Marketing,Senior,Contrato,58,15,1124.72,4.58
36,Natalia Hernández,Marketing,Junior,Medio tiempo,47,14,2037.67,3.37
37,María López,Operaciones,Junior,Tiempo completo,53,23,1363.45,1.49
38,Camila Gómez,Finanzas,Semi-Senior,Contrato,33,2,1738.6,1.92
39,Sofía Castro,Marketing,Senior,Tiempo completo,38,19,723.02,4.29
40,Carlos López,TI,Junior,Medio tiempo,58,21,1130.6,2.13
41,Camila López,Marketing,Junior,Tiempo completo,59,15,1569.84,2.54
42,Laura Mendoza,Ventas,Senior,Medio tiempo,42,2,1003.9,4.57
43,Pedro Castro,Recursos Humanos,Semi-Senior,Medio tiempo,43,33,993.91,1.13
44,Miguel Hernández,TI,Junior,Medio tiempo,43,6,1067.34,3.83
45,Laura Castro,Finanzas,Senior,Contrato,30,2,1120.8,4.16
46,Pedro Hernández,Marketing,Semi-Senior,Medio tiempo,38,20,928.45,3.74
47,Pedro Pérez,Recursos Humanos,Semi-Senior,Contrato,40,16,1305.87,1.51
48,Miguel López,Finanzas,Senior,Medio tiempo,26,0,1065.52,1.12
49,María Pérez,Recursos Humanos,Junior,Medio tiempo,34,19,895.94,2.98
50,Daniela García,Finanzas,Senior,Contrato,26,2,1114.04,4.58
51,Lucía Mendoza,Finanzas,Semi-Senior,Medio tiempo,34,28,1777.07,4.37
52,Paula Hernández,Recursos Humanos,Junior,Tiempo completo,55,23,1316.39,4.37
53,Miguel Mendoza,TI,Senior,Contrato,56,19,1797.71,2.37
54,Paula Pérez,Marketing,Semi-Senior,Tiempo completo,22,2,1408.93,4.44
55,Ana López,Marketing,Junior,Medio tiempo,34,23,1052.02,2.87
56,Luis López,Finanzas,Semi-Senior,Tiempo completo,31,0,1017.91,4.43
57,José Vera,Ventas,Junior,Tiempo completo,49,10,1106.2,1.51
58,Pedro Pérez,Finanzas,Semi-Senior,Contrato,59,2,1371.6,4.08
